Plot,#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
M4,28,10/16/2023 19:40,18.79,0,"","","",""
M4,29,10/16/2023 19:45,18.79,0,"","","",""
M4,30,10/16/2023 19:50,18.79,0,"","","",""
M4,31,10/16/2023 19:55,18.79,0,"","","",""
M4,32,10/16/2023 20:00,18.79,0,"","","",""
M4,33,10/16/2023 20:05,18.74,0,"","","",""
M4,34,10/16/2023 20:10,18.74,0,"","","",""
M4,35,10/16/2023 20:15,18.79,0,"","","",""
M4,36,10/16/2023 20:20,18.74,0,"","","",""
M4,37,10/16/2023 20:25,18.74,0,"","","",""
M4,38,10/16/2023 20:30,18.79,0,"","","",""
M4,39,10/16/2023 20:35,18.79,0.21,"","","",""
M4,40,10/16/2023 20:40,18.74,0,"","","",""
M4,41,10/16/2023 20:45,18.79,0,"","","",""
M4,42,10/16/2023 20:50,18.74,0,"","","",""
M4,43,10/16/2023 20:55,18.79,0,"","","",""
M4,44,10/16/2023 21:00,18.79,0,"","","",""
M4,45,10/16/2023 21:05,18.7,0,"","","",""
M4,46,10/16/2023 21:10,18.74,0,"","","",""
M4,47,10/16/2023 21:15,18.7,0,"","","",""
M4,48,10/16/2023 21:20,18.7,0,"","","",""
M4,49,10/16/2023 21:25,18.74,0,"","","",""
M4,50,10/16/2023 21:30,18.7,0,"","","",""
M4,51,10/16/2023 21:35,18.7,0,"","","",""
M4,52,10/16/2023 21:40,18.7,0,"","","",""
M4,53,10/16/2023 21:45,18.7,0,"","","",""
M4,54,10/16/2023 21:50,18.7,0,"","","",""
M4,55,10/16/2023 21:55,18.7,0,"","","",""
M4,56,10/16/2023 22:00,18.62,0,"","","",""
M4,57,10/16/2023 22:05,18.62,0,"","","",""
M4,58,10/16/2023 22:10,18.62,0,"","","",""
M4,59,10/16/2023 22:15,18.57,0,"","","",""
M4,60,10/16/2023 22:20,18.57,0,"","","",""
M4,61,10/16/2023 22:25,18.57,0,"","","",""
M4,62,10/16/2023 22:30,18.57,0,"","","",""
M4,63,10/16/2023 22:35,18.53,0,"","","",""
M4,64,10/16/2023 22:40,18.57,0,"","","",""
M4,65,10/16/2023 22:45,18.49,0,"","","",""
M4,66,10/16/2023 22:50,18.44,0,"","","",""
M4,67,10/16/2023 22:55,18.4,0,"","","",""
M4,68,10/16/2023 23:00,18.4,0,"","","",""
M4,69,10/16/2023 23:05,18.32,0,"","","",""
M4,70,10/16/2023 23:10,18.36,0,"","","",""
M4,71,10/16/2023 23:15,18.44,0,"","","",""
M4,72,10/16/2023 23:20,18.32,0,"","","",""
M4,73,10/16/2023 23:25,18.27,0,"","","",""
M4,74,10/16/2023 23:30,18.14,0,"","","",""
M4,75,10/16/2023 23:35,18.23,0,"","","",""
M4,76,10/16/2023 23:40,18.02,0,"","","",""
M4,77,10/16/2023 23:45,18.14,0.21,"","","",""
M4,78,10/16/2023 23:50,17.97,0,"","","",""
M4,79,10/16/2023 23:55,17.97,0,"","","",""
M4,80,10/17/2023 0:00,18.06,0,"","","",""
M4,81,10/17/2023 0:05,18.06,0,"","","",""
