#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/27/2024 08:20:00,24.02,57794.56,,,,
2,04/27/2024 08:25:00,27.07,59002.88,,,,
3,04/27/2024 08:30:00,28.05,61337.60,,,,
4,04/27/2024 08:35:00,29.04,64327.68,,,,
5,04/27/2024 08:40:00,29.60,66416.64,,,,
6,04/27/2024 08:45:00,30.11,68976.64,,,,
7,04/27/2024 08:50:00,31.10,70615.04,,,,
8,04/27/2024 08:55:00,31.36,72581.12,,,,
9,04/27/2024 09:00:00,32.04,74526.72,,,,
10,04/27/2024 09:05:00,32.64,76124.16,,,,
11,04/27/2024 09:10:00,33.33,77905.92,,,,
12,04/27/2024 09:15:00,33.72,79646.72,,,,
13,04/27/2024 09:20:00,34.23,81223.68,,,,
14,04/27/2024 09:25:00,34.36,82780.16,,,,
15,04/27/2024 09:30:00,35.00,84254.72,,,,
16,04/27/2024 09:35:00,35.18,85852.16,,,,
17,04/27/2024 09:40:00,35.30,87244.80,,,,
18,04/27/2024 09:45:00,27.50,88023.04,,,,
19,04/27/2024 09:50:00,26.12,90234.88,,,,
20,04/27/2024 09:55:00,24.71,92610.56,,,,
21,04/27/2024 10:00:00,23.25,48046.08,,,,
22,04/27/2024 10:05:00,23.64,92200.96,,,,
23,04/27/2024 10:10:00,22.26,69365.76,,,,
24,04/27/2024 10:15:00,22.05,101703.68,,,,
25,04/27/2024 10:20:00,21.49,96993.28,,,,
26,04/27/2024 10:25:00,21.62,82944.00,,,,
27,04/27/2024 10:30:00,21.19,97034.24,,,,
28,04/27/2024 10:35:00,21.28,89169.92,,,,
29,04/27/2024 10:40:00,20.25,81735.68,,,,
30,04/27/2024 10:45:00,20.29,62484.48,,,,
31,04/27/2024 10:50:00,20.72,89743.36,,,,
32,04/27/2024 10:55:00,20.85,50995.20,,,,
33,04/27/2024 11:00:00,20.29,85319.68,,,,
34,04/27/2024 11:05:00,19.99,102318.08,,,,
35,04/27/2024 11:10:00,20.50,84500.48,,,,
36,04/27/2024 11:15:00,19.82,88309.76,,,,
37,04/27/2024 11:20:00,19.95,74772.48,,,,
38,04/27/2024 11:25:00,20.16,89743.36,,,,
39,04/27/2024 11:30:00,19.69,71147.52,,,,
40,04/27/2024 11:35:00,19.30,76185.60,,,,
41,04/27/2024 11:40:00,19.47,20321.28,,,,
42,04/27/2024 11:45:00,19.52,52408.32,,,,
43,04/27/2024 11:50:00,19.17,114688.00,,,,
44,04/27/2024 11:55:00,19.69,111697.92,,,,
45,04/27/2024 12:00:00,19.82,78929.92,,,,
46,04/27/2024 12:05:00,19.52,99409.92,,,,
47,04/27/2024 12:10:00,19.43,102973.44,,,,
48,04/27/2024 12:15:00,19.17,81367.04,,,,
49,04/27/2024 12:20:00,19.17,80752.64,,,,
50,04/27/2024 12:25:00,19.65,71086.08,,,,
51,04/27/2024 12:30:00,19.73,103014.40,,,,
52,04/27/2024 12:35:00,19.47,67112.96,,,,
53,04/27/2024 12:40:00,19.30,80650.24,,,,
54,04/27/2024 12:45:00,19.52,70881.28,,,,
55,04/27/2024 12:50:00,19.77,55234.56,,,,
56,04/27/2024 12:55:00,19.90,69140.48,,,,
57,04/27/2024 13:00:00,19.82,42762.24,,,,
58,04/27/2024 13:05:00,19.73,74280.96,,,,
59,04/27/2024 13:10:00,19.73,99778.56,,,,
60,04/27/2024 13:15:00,19.82,73564.16,,,,
61,04/27/2024 13:20:00,19.69,73768.96,,,,
62,04/27/2024 13:25:00,19.69,97034.24,,,,
63,04/27/2024 13:30:00,19.69,58470.40,,,,
64,04/27/2024 13:35:00,19.77,65884.16,,,,
65,04/27/2024 13:40:00,19.52,68136.96,,,,
66,04/27/2024 13:45:00,19.73,78295.04,,,,
67,04/27/2024 13:50:00,19.77,39587.84,,,,
68,04/27/2024 13:55:00,19.82,69181.44,,,,
69,04/27/2024 14:00:00,19.86,75632.64,,,,
70,04/27/2024 14:05:00,19.82,84049.92,,,,
71,04/27/2024 14:10:00,20.12,95068.16,,,,
72,04/27/2024 14:15:00,20.03,53596.16,,,,
73,04/27/2024 14:20:00,19.95,61030.40,,,,
74,04/27/2024 14:25:00,20.20,65597.44,,,,
75,04/27/2024 14:30:00,19.82,69980.16,,,,
76,04/27/2024 14:35:00,19.95,80527.36,,,,
77,04/27/2024 14:40:00,19.82,69038.08,,,,
78,04/27/2024 14:45:00,19.86,62832.64,,,,
79,04/27/2024 14:50:00,20.03,73400.32,,,,
80,04/27/2024 14:55:00,19.90,71905.28,,,,
81,04/27/2024 15:00:00,19.95,91832.32,,,,
82,04/27/2024 15:05:00,19.82,87162.88,,,,
83,04/27/2024 15:10:00,19.90,92569.60,,,,
84,04/27/2024 15:15:00,19.86,73830.40,,,,
85,04/27/2024 15:20:00,19.56,67993.60,,,,
86,04/27/2024 15:25:00,19.73,48087.04,,,,
87,04/27/2024 15:30:00,19.43,58798.08,,,,
88,04/27/2024 15:35:00,19.35,61480.96,,,,
89,04/27/2024 15:40:00,19.26,64860.16,,,,
90,04/27/2024 15:45:00,19.47,49623.04,,,,
91,04/27/2024 15:50:00,19.52,60764.16,,,,
92,04/27/2024 15:55:00,19.22,59699.20,,,,
93,04/27/2024 16:00:00,19.30,42659.84,,,,
94,04/27/2024 16:05:00,19.05,55705.60,,,,
95,04/27/2024 16:10:00,19.30,61132.80,,,,
96,04/27/2024 16:15:00,19.17,48455.68,,,,
97,04/27/2024 16:20:00,18.83,36106.24,,,,
98,04/27/2024 16:25:00,18.62,48680.96,,,,
99,04/27/2024 16:30:00,18.70,37416.96,,,,
100,04/27/2024 16:35:00,18.40,60436.48,,,,
101,04/27/2024 16:40:00,18.14,41338.88,,,,
102,04/27/2024 16:45:00,18.10,33812.48,,,,
103,04/27/2024 16:50:00,18.06,30771.20,,,,
104,04/27/2024 16:55:00,17.84,35266.56,,,,
105,04/27/2024 17:00:00,17.72,25804.80,,,,
106,04/27/2024 17:05:00,17.54,32962.56,,,,
107,04/27/2024 17:10:00,17.54,36802.56,,,,
108,04/27/2024 17:15:00,17.33,30433.28,,,,
109,04/27/2024 17:20:00,17.37,38041.60,,,,
110,04/27/2024 17:25:00,17.16,46632.96,,,,
111,04/27/2024 17:30:00,16.86,25077.76,,,,
112,04/27/2024 17:35:00,16.73,23572.48,,,,
113,04/27/2024 17:40:00,16.73,35133.44,,,,
114,04/27/2024 17:45:00,16.56,26101.76,,,,
115,04/27/2024 17:50:00,15.57,6917.12,,,,
116,04/27/2024 17:55:00,15.44,4437.76,,,,
117,04/27/2024 18:00:00,15.40,5905.92,,,,
118,04/27/2024 18:05:00,15.36,7846.40,,,,
119,04/27/2024 18:10:00,15.31,4811.52,,,,
120,04/27/2024 18:15:00,15.31,5184.00,,,,
121,04/27/2024 18:20:00,15.31,6648.32,,,,
122,04/27/2024 18:25:00,15.23,4715.52,,,,
123,04/27/2024 18:30:00,15.23,5342.72,,,,
124,04/27/2024 18:35:00,15.23,4892.16,,,,
125,04/27/2024 18:40:00,15.18,3150.08,,,,
126,04/27/2024 18:45:00,15.14,2827.52,,,,
127,04/27/2024 18:50:00,15.06,3315.20,,,,
128,04/27/2024 18:55:00,15.01,3527.68,,,,
129,04/27/2024 19:00:00,15.01,3098.88,,,,
130,04/27/2024 19:05:00,15.01,2144.64,,,,
131,04/27/2024 19:10:00,14.97,1493.12,,,,
132,04/27/2024 19:15:00,14.93,1783.04,,,,
133,04/27/2024 19:20:00,14.88,1085.76,,,,
134,04/27/2024 19:25:00,14.88,760.32,,,,
135,04/27/2024 19:30:00,14.84,464.00,,,,
136,04/27/2024 19:35:00,14.75,237.28,,,,
137,04/27/2024 19:40:00,14.84,121.16,,,,
138,04/27/2024 19:45:00,14.75,77.44,,,,
139,04/27/2024 19:50:00,14.75,22.12,,,,
140,04/27/2024 19:55:00,14.80,6.38,,,,
141,04/27/2024 20:00:00,14.80,0.00,,,,
142,04/27/2024 20:05:00,14.71,0.00,,,,
143,04/27/2024 20:10:00,14.75,0.00,,,,
144,04/27/2024 20:15:00,14.71,0.00,,,,
145,04/27/2024 20:20:00,14.67,0.00,,,,
146,04/27/2024 20:25:00,14.67,0.00,,,,
147,04/27/2024 20:30:00,14.71,0.00,,,,
148,04/27/2024 20:35:00,14.67,0.00,,,,
149,04/27/2024 20:40:00,14.67,0.00,,,,
150,04/27/2024 20:45:00,14.67,0.00,,,,
151,04/27/2024 20:50:00,14.67,0.00,,,,
152,04/27/2024 20:55:00,14.71,0.00,,,,
153,04/27/2024 21:00:00,14.67,0.00,,,,
154,04/27/2024 21:05:00,14.67,0.00,,,,
155,04/27/2024 21:10:00,14.67,0.00,,,,
156,04/27/2024 21:15:00,14.67,0.00,,,,
157,04/27/2024 21:20:00,14.67,0.00,,,,
158,04/27/2024 21:25:00,14.67,0.00,,,,
159,04/27/2024 21:30:00,14.63,0.00,,,,
160,04/27/2024 21:35:00,14.67,0.00,,,,
161,04/27/2024 21:40:00,14.67,0.00,,,,
162,04/27/2024 21:45:00,14.67,0.00,,,,
163,04/27/2024 21:50:00,14.63,0.00,,,,
164,04/27/2024 21:55:00,14.63,0.00,,,,
165,04/27/2024 22:00:00,14.67,0.00,,,,
166,04/27/2024 22:05:00,14.58,0.00,,,,
167,04/27/2024 22:10:00,14.63,0.00,,,,
168,04/27/2024 22:15:00,14.63,0.00,,,,
169,04/27/2024 22:20:00,14.67,0.00,,,,
170,04/27/2024 22:25:00,14.63,0.00,,,,
171,04/27/2024 22:30:00,14.63,0.00,,,,
172,04/27/2024 22:35:00,14.58,0.00,,,,
173,04/27/2024 22:40:00,14.63,0.00,,,,
174,04/27/2024 22:45:00,14.67,0.00,,,,
175,04/27/2024 22:50:00,14.67,0.00,,,,
176,04/27/2024 22:55:00,14.63,0.00,,,,
177,04/27/2024 23:00:00,14.58,0.00,,,,
178,04/27/2024 23:05:00,14.58,0.00,,,,
179,04/27/2024 23:10:00,14.63,0.00,,,,
180,04/27/2024 23:15:00,14.58,0.00,,,,
181,04/27/2024 23:20:00,14.63,0.00,,,,
182,04/27/2024 23:25:00,14.58,0.00,,,,
183,04/27/2024 23:30:00,14.58,0.00,,,,
184,04/27/2024 23:35:00,14.63,0.00,,,,
185,04/27/2024 23:40:00,14.67,0.00,,,,
186,04/27/2024 23:45:00,14.58,0.00,,,,
187,04/27/2024 23:50:00,14.58,0.00,,,,
188,04/27/2024 23:55:00,14.63,0.00,,,,
189,04/28/2024 00:00:00,14.58,0.00,,,,
190,04/28/2024 00:05:00,14.58,0.00,,,,
191,04/28/2024 00:10:00,14.58,0.00,,,,
192,04/28/2024 00:15:00,14.54,0.00,,,,
193,04/28/2024 00:20:00,14.58,0.00,,,,
194,04/28/2024 00:25:00,14.54,0.00,,,,
195,04/28/2024 00:30:00,14.50,0.00,,,,
196,04/28/2024 00:35:00,14.45,0.00,,,,
197,04/28/2024 00:40:00,14.37,0.00,,,,
198,04/28/2024 00:45:00,14.33,0.00,,,,
199,04/28/2024 00:50:00,14.24,0.00,,,,
200,04/28/2024 00:55:00,14.20,0.00,,,,
201,04/28/2024 01:00:00,14.15,0.00,,,,
202,04/28/2024 01:05:00,14.11,0.00,,,,
203,04/28/2024 01:10:00,14.07,0.00,,,,
204,04/28/2024 01:15:00,14.03,0.00,,,,
205,04/28/2024 01:20:00,14.07,0.00,,,,
206,04/28/2024 01:25:00,14.07,0.00,,,,
207,04/28/2024 01:30:00,13.98,0.00,,,,
208,04/28/2024 01:35:00,13.90,0.00,,,,
209,04/28/2024 01:40:00,14.03,0.00,,,,
210,04/28/2024 01:45:00,13.98,0.00,,,,
211,04/28/2024 01:50:00,13.94,0.00,,,,
212,04/28/2024 01:55:00,14.07,0.00,,,,
213,04/28/2024 02:00:00,14.03,0.00,,,,
214,04/28/2024 02:05:00,14.11,0.00,,,,
215,04/28/2024 02:10:00,14.03,0.00,,,,
216,04/28/2024 02:15:00,14.03,0.00,,,,
217,04/28/2024 02:20:00,14.11,0.00,,,,
218,04/28/2024 02:25:00,14.07,0.00,,,,
219,04/28/2024 02:30:00,14.07,0.00,,,,
220,04/28/2024 02:35:00,14.07,0.00,,,,
221,04/28/2024 02:40:00,14.11,0.00,,,,
222,04/28/2024 02:45:00,14.03,0.00,,,,
223,04/28/2024 02:50:00,14.03,0.00,,,,
224,04/28/2024 02:55:00,14.07,0.00,,,,
225,04/28/2024 03:00:00,13.98,0.00,,,,
226,04/28/2024 03:05:00,13.98,0.00,,,,
227,04/28/2024 03:10:00,13.94,0.00,,,,
228,04/28/2024 03:15:00,13.90,0.00,,,,
229,04/28/2024 03:20:00,13.90,0.00,,,,
230,04/28/2024 03:25:00,13.85,0.00,,,,
231,04/28/2024 03:30:00,13.85,0.00,,,,
232,04/28/2024 03:35:00,13.77,0.00,,,,
233,04/28/2024 03:40:00,13.73,0.00,,,,
234,04/28/2024 03:45:00,13.73,0.00,,,,
235,04/28/2024 03:50:00,13.73,0.00,,,,
236,04/28/2024 03:55:00,13.64,0.00,,,,
237,04/28/2024 04:00:00,13.55,0.00,,,,
238,04/28/2024 04:05:00,13.51,0.00,,,,
239,04/28/2024 04:10:00,13.43,0.00,,,,
240,04/28/2024 04:15:00,13.21,0.00,,,,
241,04/28/2024 04:20:00,12.91,0.00,,,,
242,04/28/2024 04:25:00,12.61,0.00,,,,
243,04/28/2024 04:30:00,12.10,0.00,,,,
244,04/28/2024 04:35:00,11.88,0.00,,,,
245,04/28/2024 04:40:00,11.45,0.00,,,,
246,04/28/2024 04:45:00,11.32,0.00,,,,
247,04/28/2024 04:50:00,11.15,0.00,,,,
248,04/28/2024 04:55:00,10.98,0.00,,,,
249,04/28/2024 05:00:00,10.94,0.00,,,,
250,04/28/2024 05:05:00,10.77,0.00,,,,
251,04/28/2024 05:10:00,10.85,0.00,,,,
252,04/28/2024 05:15:00,10.77,0.00,,,,
253,04/28/2024 05:20:00,10.81,0.00,,,,
254,04/28/2024 05:25:00,10.94,0.00,,,,
