#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/07/2024 14:05:00,27.93,89661.44,,,,
2,04/07/2024 14:10:00,28.40,89169.92,,,,
3,04/07/2024 14:15:00,28.83,88719.36,,,,
4,04/07/2024 14:20:00,28.91,88145.92,,,,
5,04/07/2024 14:25:00,29.13,87531.52,,,,
6,04/07/2024 14:30:00,29.13,86917.12,,,,
7,04/07/2024 14:35:00,29.38,86056.96,,,,
8,04/07/2024 14:40:00,29.43,85524.48,,,,
9,04/07/2024 14:45:00,29.68,84828.16,,,,
10,04/07/2024 14:50:00,29.77,84049.92,,,,
11,04/07/2024 14:55:00,29.86,83271.68,,,,
12,04/07/2024 15:00:00,29.73,82370.56,,,,
13,04/07/2024 15:05:00,30.16,81715.20,,,,
14,04/07/2024 15:10:00,30.33,81141.76,,,,
15,04/07/2024 15:15:00,30.24,80035.84,,,,
16,04/07/2024 15:20:00,30.41,79134.72,,,,
17,04/07/2024 15:25:00,30.41,78172.16,,,,
18,04/07/2024 15:30:00,30.07,77332.48,,,,
19,04/07/2024 15:35:00,30.50,76615.68,,,,
20,04/07/2024 15:40:00,30.33,75857.92,,,,
21,04/07/2024 15:45:00,30.11,72990.72,,,,
22,04/07/2024 15:50:00,30.24,71208.96,,,,
23,04/07/2024 15:55:00,29.94,68874.24,,,,
24,04/07/2024 16:00:00,29.60,65925.12,,,,
25,04/07/2024 16:05:00,29.56,66478.08,,,,
26,04/07/2024 16:10:00,28.70,59985.92,,,,
27,04/07/2024 16:15:00,28.61,60293.12,,,,
28,04/07/2024 16:20:00,28.61,64286.72,,,,
29,04/07/2024 16:25:00,29.51,65146.88,,,,
30,04/07/2024 16:30:00,29.38,62136.32,,,,
31,04/07/2024 16:35:00,29.64,62709.76,,,,
32,04/07/2024 16:40:00,29.34,62361.60,,,,
33,04/07/2024 16:45:00,28.48,49745.92,,,,
34,04/07/2024 16:50:00,25.91,48742.40,,,,
