#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/15/2024 12:35:00,22.01,4313.60,,,,
2,04/15/2024 12:40:00,22.01,15329.28,,,,
3,04/15/2024 12:45:00,21.02,16414.72,,,,
4,04/15/2024 12:50:00,20.80,13127.68,,,,
5,04/15/2024 12:55:00,20.07,9070.08,,,,
6,04/15/2024 13:00:00,19.73,7749.12,,,,
7,04/15/2024 13:05:00,19.43,8320.00,,,,
8,04/15/2024 13:10:00,18.96,6128.64,,,,
9,04/15/2024 13:15:00,18.66,8235.52,,,,
10,04/15/2024 13:20:00,18.32,4244.48,,,,
11,04/15/2024 13:25:00,18.40,5376.00,,,,
12,04/15/2024 13:30:00,18.27,4067.84,,,,
13,04/15/2024 13:35:00,18.23,8043.52,,,,
14,04/15/2024 13:40:00,18.36,6909.44,,,,
15,04/15/2024 13:45:00,18.32,7091.20,,,,
16,04/15/2024 13:50:00,18.23,7846.40,,,,
17,04/15/2024 13:55:00,18.32,2096.00,,,,
18,04/15/2024 14:00:00,18.36,8527.36,,,,
19,04/15/2024 14:05:00,18.49,7185.92,,,,
20,04/15/2024 14:10:00,18.32,6051.84,,,,
21,04/15/2024 14:15:00,18.49,3997.44,,,,
22,04/15/2024 14:20:00,18.40,2341.76,,,,
23,04/15/2024 14:25:00,18.49,8176.64,,,,
24,04/15/2024 14:30:00,18.79,9034.24,,,,
25,04/15/2024 14:35:00,18.83,6343.68,,,,
26,04/15/2024 14:40:00,18.62,9502.72,,,,
27,04/15/2024 14:45:00,18.53,4997.12,,,,
28,04/15/2024 14:50:00,18.44,2816.00,,,,
29,04/15/2024 14:55:00,18.40,3829.76,,,,
30,04/15/2024 15:00:00,18.27,8099.84,,,,
31,04/15/2024 15:05:00,18.14,1581.44,,,,
32,04/15/2024 15:10:00,18.10,4090.88,,,,
33,04/15/2024 15:15:00,17.93,3769.60,,,,
34,04/15/2024 15:20:00,17.80,5100.80,,,,
35,04/15/2024 15:25:00,17.80,3607.04,,,,
36,04/15/2024 15:30:00,17.72,5660.16,,,,
37,04/15/2024 15:35:00,17.63,5130.24,,,,
38,04/15/2024 15:40:00,17.59,4577.28,,,,
39,04/15/2024 15:45:00,17.54,5052.16,,,,
40,04/15/2024 15:50:00,17.37,3336.96,,,,
41,04/15/2024 15:55:00,17.37,3653.12,,,,
42,04/15/2024 16:00:00,17.29,3013.12,,,,
43,04/15/2024 16:05:00,17.16,3980.80,,,,
44,04/15/2024 16:10:00,17.16,1250.88,,,,
45,04/15/2024 16:15:00,17.11,2040.96,,,,
46,04/15/2024 16:20:00,16.94,876.16,,,,
47,04/15/2024 16:25:00,16.86,2591.36,,,,
48,04/15/2024 16:30:00,16.77,556.96,,,,
49,04/15/2024 16:35:00,16.64,2022.40,,,,
50,04/15/2024 16:40:00,16.60,3426.56,,,,
51,04/15/2024 16:45:00,16.56,928.64,,,,
52,04/15/2024 16:50:00,16.51,2573.44,,,,
53,04/15/2024 16:55:00,16.39,891.52,,,,
54,04/15/2024 17:00:00,16.39,828.48,,,,
55,04/15/2024 17:05:00,16.34,1232.64,,,,
56,04/15/2024 17:10:00,16.30,1061.76,,,,
57,04/15/2024 17:15:00,16.17,1710.72,,,,
58,04/15/2024 17:20:00,16.21,2579.84,,,,
59,04/15/2024 17:25:00,16.13,1098.56,,,,
60,04/15/2024 17:30:00,16.08,895.36,,,,
61,04/15/2024 17:35:00,16.04,867.84,,,,
62,04/15/2024 17:40:00,16.00,920.64,,,,
63,04/15/2024 17:45:00,15.96,996.48,,,,
64,04/15/2024 17:50:00,15.87,192.32,,,,
65,04/15/2024 17:55:00,15.83,464.96,,,,
66,04/15/2024 18:00:00,15.78,230.64,,,,
67,04/15/2024 18:05:00,15.78,195.52,,,,
68,04/15/2024 18:10:00,15.74,75.96,,,,
69,04/15/2024 18:15:00,15.70,84.64,,,,
70,04/15/2024 18:20:00,15.78,313.92,,,,
71,04/15/2024 18:25:00,15.70,209.28,,,,
72,04/15/2024 18:30:00,15.66,303.04,,,,
73,04/15/2024 18:35:00,15.66,263.44,,,,
74,04/15/2024 18:40:00,15.57,64.78,,,,
75,04/15/2024 18:45:00,15.61,82.32,,,,
76,04/15/2024 18:50:00,15.57,133.60,,,,
77,04/15/2024 18:55:00,15.53,135.88,,,,
78,04/15/2024 19:00:00,15.48,186.00,,,,
79,04/15/2024 19:05:00,15.48,87.80,,,,
80,04/15/2024 19:10:00,15.44,15.66,,,,
81,04/15/2024 19:15:00,15.44,49.20,,,,
82,04/15/2024 19:20:00,15.40,29.92,,,,
83,04/15/2024 19:25:00,15.36,4.22,,,,
84,04/15/2024 19:30:00,15.40,7.61,,,,
85,04/15/2024 19:35:00,15.36,2.29,,,,
86,04/15/2024 19:40:00,15.31,0.93,,,,
87,04/15/2024 19:45:00,15.36,0.00,,,,
88,04/15/2024 19:50:00,15.31,0.07,,,,
89,04/15/2024 19:55:00,15.31,0.00,,,,
90,04/15/2024 20:00:00,15.27,0.00,,,,
91,04/15/2024 20:05:00,15.27,0.00,,,,
92,04/15/2024 20:10:00,15.31,0.00,,,,
93,04/15/2024 20:15:00,15.23,0.00,,,,
94,04/15/2024 20:20:00,15.18,0.00,,,,
95,04/15/2024 20:25:00,15.23,0.00,,,,
96,04/15/2024 20:30:00,15.23,0.00,,,,
97,04/15/2024 20:35:00,15.18,0.00,,,,
98,04/15/2024 20:40:00,15.14,0.00,,,,
99,04/15/2024 20:45:00,15.14,0.00,,,,
100,04/15/2024 20:50:00,15.10,0.00,,,,
101,04/15/2024 20:55:00,15.10,0.00,,,,
102,04/15/2024 21:00:00,15.10,0.00,,,,
103,04/15/2024 21:05:00,15.01,0.00,,,,
104,04/15/2024 21:10:00,15.10,0.00,,,,
105,04/15/2024 21:15:00,15.06,0.00,,,,
106,04/15/2024 21:20:00,15.10,0.00,,,,
107,04/15/2024 21:25:00,15.06,0.00,,,,
108,04/15/2024 21:30:00,15.06,0.00,,,,
109,04/15/2024 21:35:00,14.97,0.00,,,,
110,04/15/2024 21:40:00,15.01,0.00,,,,
111,04/15/2024 21:45:00,14.93,0.00,,,,
112,04/15/2024 21:50:00,14.97,0.00,,,,
113,04/15/2024 21:55:00,14.97,0.00,,,,
114,04/15/2024 22:00:00,14.97,0.00,,,,
115,04/15/2024 22:05:00,14.93,0.00,,,,
116,04/15/2024 22:10:00,14.93,0.00,,,,
117,04/15/2024 22:15:00,14.97,0.00,,,,
118,04/15/2024 22:20:00,14.93,0.00,,,,
119,04/15/2024 22:25:00,14.93,0.00,,,,
120,04/15/2024 22:30:00,14.93,0.00,,,,
121,04/15/2024 22:35:00,14.93,0.00,,,,
122,04/15/2024 22:40:00,14.88,0.00,,,,
123,04/15/2024 22:45:00,14.93,0.00,,,,
124,04/15/2024 22:50:00,14.88,0.00,,,,
125,04/15/2024 22:55:00,14.88,0.00,,,,
126,04/15/2024 23:00:00,14.88,0.00,,,,
127,04/15/2024 23:05:00,14.88,0.00,,,,
128,04/15/2024 23:10:00,14.84,0.00,,,,
129,04/15/2024 23:15:00,14.84,0.00,,,,
130,04/15/2024 23:20:00,14.84,0.00,,,,
131,04/15/2024 23:25:00,14.80,0.00,,,,
132,04/15/2024 23:30:00,14.84,0.00,,,,
133,04/15/2024 23:35:00,14.84,0.00,,,,
134,04/15/2024 23:40:00,14.84,0.00,,,,
135,04/15/2024 23:45:00,14.80,0.00,,,,
136,04/15/2024 23:50:00,14.80,0.00,,,,
137,04/15/2024 23:55:00,14.80,0.00,,,,
138,04/16/2024 00:00:00,14.75,0.00,,,,
139,04/16/2024 00:05:00,14.80,0.00,,,,
140,04/16/2024 00:10:00,14.84,0.00,,,,
141,04/16/2024 00:15:00,14.80,0.00,,,,
142,04/16/2024 00:20:00,14.75,0.00,,,,
143,04/16/2024 00:25:00,14.75,0.00,,,,
144,04/16/2024 00:30:00,14.80,0.00,,,,
145,04/16/2024 00:35:00,14.75,0.00,,,,
146,04/16/2024 00:40:00,14.71,0.00,,,,
147,04/16/2024 00:45:00,14.71,0.00,,,,
148,04/16/2024 00:50:00,14.75,0.00,,,,
149,04/16/2024 00:55:00,14.71,0.00,,,,
150,04/16/2024 01:00:00,14.75,0.00,,,,
151,04/16/2024 01:05:00,14.71,0.00,,,,
152,04/16/2024 01:10:00,14.75,0.00,,,,
153,04/16/2024 01:15:00,14.71,0.00,,,,
154,04/16/2024 01:20:00,14.67,0.00,,,,
155,04/16/2024 01:25:00,14.71,0.00,,,,
156,04/16/2024 01:30:00,14.67,0.00,,,,
157,04/16/2024 01:35:00,14.67,0.00,,,,
158,04/16/2024 01:40:00,14.67,0.00,,,,
159,04/16/2024 01:45:00,14.67,0.00,,,,
160,04/16/2024 01:50:00,14.63,0.00,,,,
161,04/16/2024 01:55:00,14.63,0.00,,,,
162,04/16/2024 02:00:00,14.63,0.00,,,,
163,04/16/2024 02:05:00,14.63,0.00,,,,
164,04/16/2024 02:10:00,14.63,0.00,,,,
165,04/16/2024 02:15:00,14.63,0.00,,,,
166,04/16/2024 02:20:00,14.54,0.00,,,,
167,04/16/2024 02:25:00,14.54,0.00,,,,
168,04/16/2024 02:30:00,14.54,0.00,,,,
169,04/16/2024 02:35:00,14.54,0.00,,,,
170,04/16/2024 02:40:00,14.58,0.00,,,,
171,04/16/2024 02:45:00,14.54,0.00,,,,
172,04/16/2024 02:50:00,14.58,0.00,,,,
173,04/16/2024 02:55:00,14.54,0.00,,,,
174,04/16/2024 03:00:00,14.54,0.00,,,,
175,04/16/2024 03:05:00,14.50,0.00,,,,
176,04/16/2024 03:10:00,14.54,0.00,,,,
177,04/16/2024 03:15:00,14.54,0.00,,,,
178,04/16/2024 03:20:00,14.50,0.00,,,,
179,04/16/2024 03:25:00,14.50,0.00,,,,
180,04/16/2024 03:30:00,14.50,0.00,,,,
181,04/16/2024 03:35:00,14.54,0.00,,,,
182,04/16/2024 03:40:00,14.45,0.00,,,,
183,04/16/2024 03:45:00,14.50,0.00,,,,
184,04/16/2024 03:50:00,14.45,0.00,,,,
185,04/16/2024 03:55:00,14.45,0.00,,,,
186,04/16/2024 04:00:00,14.50,0.00,,,,
187,04/16/2024 04:05:00,14.45,0.00,,,,
188,04/16/2024 04:10:00,14.41,0.00,,,,
189,04/16/2024 04:15:00,14.45,0.00,,,,
190,04/16/2024 04:20:00,14.41,0.00,,,,
191,04/16/2024 04:25:00,14.41,0.00,,,,
192,04/16/2024 04:30:00,14.41,0.00,,,,
193,04/16/2024 04:35:00,14.45,0.00,,,,
194,04/16/2024 04:40:00,14.45,0.00,,,,
195,04/16/2024 04:45:00,14.45,0.00,,,,
196,04/16/2024 04:50:00,14.37,0.00,,,,
197,04/16/2024 04:55:00,14.45,0.00,,,,
198,04/16/2024 05:00:00,14.41,0.00,,,,
199,04/16/2024 05:05:00,14.41,0.00,,,,
200,04/16/2024 05:10:00,14.33,0.00,,,,
201,04/16/2024 05:15:00,14.37,0.00,,,,
202,04/16/2024 05:20:00,14.41,0.00,,,,
203,04/16/2024 05:25:00,14.41,0.00,,,,
204,04/16/2024 05:30:00,14.37,0.00,,,,
205,04/16/2024 05:35:00,14.33,0.00,,,,
206,04/16/2024 05:40:00,14.37,0.00,,,,
207,04/16/2024 05:45:00,14.37,0.00,,,,
208,04/16/2024 05:50:00,14.28,0.00,,,,
209,04/16/2024 05:55:00,14.33,0.00,,,,
210,04/16/2024 06:00:00,14.33,0.28,,,,
211,04/16/2024 06:05:00,14.33,1.36,,,,
212,04/16/2024 06:10:00,14.28,1.79,,,,
213,04/16/2024 06:15:00,14.28,4.59,,,,
214,04/16/2024 06:20:00,14.24,10.93,,,,
215,04/16/2024 06:25:00,14.28,54.40,,,,
216,04/16/2024 06:30:00,14.24,52.96,,,,
217,04/16/2024 06:35:00,14.24,12.22,,,,
218,04/16/2024 06:40:00,14.24,147.76,,,,
219,04/16/2024 06:45:00,14.28,145.20,,,,
220,04/16/2024 06:50:00,14.28,39.13,,,,
221,04/16/2024 06:55:00,14.24,154.64,,,,
222,04/16/2024 07:00:00,14.24,234.48,,,,
223,04/16/2024 07:05:00,14.24,248.00,,,,
224,04/16/2024 07:10:00,14.24,300.40,,,,
225,04/16/2024 07:15:00,14.24,275.92,,,,
226,04/16/2024 07:20:00,14.24,425.12,,,,
227,04/16/2024 07:25:00,14.28,720.00,,,,
228,04/16/2024 07:30:00,14.28,362.24,,,,
229,04/16/2024 07:35:00,14.33,417.60,,,,
230,04/16/2024 07:40:00,14.37,1489.28,,,,
231,04/16/2024 07:45:00,14.41,1726.72,,,,
232,04/16/2024 07:50:00,14.37,1347.20,,,,
233,04/16/2024 07:55:00,14.41,1584.64,,,,
234,04/16/2024 08:00:00,14.54,720.64,,,,
235,04/16/2024 08:05:00,14.54,4474.88,,,,
236,04/16/2024 08:10:00,14.63,7006.72,,,,
237,04/16/2024 08:15:00,14.71,1799.04,,,,
238,04/16/2024 08:20:00,14.71,1843.84,,,,
239,04/16/2024 08:25:00,14.84,1583.36,,,,
240,04/16/2024 08:30:00,14.84,5445.12,,,,
241,04/16/2024 08:35:00,14.97,1726.72,,,,
242,04/16/2024 08:40:00,15.06,6402.56,,,,
243,04/16/2024 08:45:00,15.10,3096.32,,,,
244,04/16/2024 08:50:00,15.27,9067.52,,,,
245,04/16/2024 08:55:00,15.36,2585.60,,,,
246,04/16/2024 09:00:00,15.36,4750.08,,,,
247,04/16/2024 09:05:00,15.40,11110.40,,,,
248,04/16/2024 09:10:00,15.57,18462.72,,,,
249,04/16/2024 09:15:00,15.61,11453.44,,,,
250,04/16/2024 09:20:00,15.70,6832.64,,,,
251,04/16/2024 09:25:00,15.74,7692.80,,,,
252,04/16/2024 09:30:00,15.91,9136.64,,,,
253,04/16/2024 09:35:00,16.00,5136.64,,,,
254,04/16/2024 09:40:00,15.96,1732.48,,,,
255,04/16/2024 09:45:00,16.17,4281.60,,,,
256,04/16/2024 09:50:00,16.26,10803.20,,,,
257,04/16/2024 09:55:00,16.26,3274.24,,,,
258,04/16/2024 10:00:00,16.51,16266.24,,,,
259,04/16/2024 10:05:00,16.64,3068.16,,,,
260,04/16/2024 10:10:00,16.64,18329.60,,,,
261,04/16/2024 10:15:00,16.60,14586.88,,,,
262,04/16/2024 10:20:00,16.77,3621.12,,,,
263,04/16/2024 10:25:00,16.99,8450.56,,,,
264,04/16/2024 10:30:00,17.20,15933.44,,,,
265,04/16/2024 10:35:00,17.29,6338.56,,,,
266,04/16/2024 10:40:00,17.72,8350.72,,,,
267,04/16/2024 10:45:00,18.14,11130.88,,,,
268,04/16/2024 10:50:00,18.36,7843.84,,,,
269,04/16/2024 10:55:00,18.70,8678.40,,,,
