#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/06/2024 13:55:00,41.27,107356.16,,,,
2,04/06/2024 14:00:00,40.41,106741.76,,,,
3,04/06/2024 14:05:00,39.47,106127.36,,,,
4,04/06/2024 14:10:00,38.74,105758.72,,,,
5,04/06/2024 14:15:00,38.44,104980.48,,,,
6,04/06/2024 14:20:00,38.01,104325.12,,,,
7,04/06/2024 14:25:00,37.66,102850.56,,,,
8,04/06/2024 14:30:00,37.54,101539.84,,,,
9,04/06/2024 14:35:00,37.49,100147.20,,,,
10,04/06/2024 14:40:00,37.28,98795.52,,,,
11,04/06/2024 14:45:00,36.93,96993.28,,,,
12,04/06/2024 14:50:00,36.46,94986.24,,,,
13,04/06/2024 14:55:00,36.46,92815.36,,,,
14,04/06/2024 15:00:00,36.08,90193.92,,,,
15,04/06/2024 15:05:00,35.69,87818.24,,,,
16,04/06/2024 15:10:00,35.00,85565.44,,,,
17,04/06/2024 15:15:00,34.45,83742.72,,,,
18,04/06/2024 15:20:00,33.80,81899.52,,,,
19,04/06/2024 15:25:00,33.16,80097.28,,,,
20,04/06/2024 15:30:00,33.16,78663.68,,,,
21,04/06/2024 15:35:00,31.96,73338.88,,,,
22,04/06/2024 15:40:00,30.54,48783.36,,,,
23,04/06/2024 15:45:00,30.54,69181.44,,,,
24,04/06/2024 15:50:00,28.87,33228.80,,,,
25,04/06/2024 15:55:00,28.57,32983.04,,,,
26,04/06/2024 16:00:00,27.54,34867.20,,,,
27,04/06/2024 16:05:00,27.37,38471.68,,,,
28,04/06/2024 16:10:00,27.28,40386.56,,,,
29,04/06/2024 16:15:00,26.90,43069.44,,,,
30,04/06/2024 16:20:00,26.51,40908.80,,,,
31,04/06/2024 16:25:00,25.95,35778.56,,,,
32,04/06/2024 16:30:00,25.65,29532.16,,,,
33,04/06/2024 16:35:00,25.35,29173.76,,,,
34,04/06/2024 16:40:00,24.84,33105.92,,,,
35,04/06/2024 16:45:00,24.36,35010.56,,,,
36,04/06/2024 16:50:00,23.76,36925.44,,,,
37,04/06/2024 16:55:00,23.38,38010.88,,,,
38,04/06/2024 17:00:00,22.69,38041.60,,,,
39,04/06/2024 17:05:00,22.13,38205.44,,,,
40,04/06/2024 17:10:00,21.36,36843.52,,,,
41,04/06/2024 17:15:00,20.46,35133.44,,,,
42,04/06/2024 17:20:00,19.65,33280.00,,,,
43,04/06/2024 17:25:00,18.62,30453.76,,,,
44,04/06/2024 17:30:00,17.72,26726.40,,,,
45,04/06/2024 17:35:00,16.73,21790.72,,,,
46,04/06/2024 17:40:00,15.83,13742.08,,,,
47,04/06/2024 17:45:00,14.20,8199.68,,,,
48,04/06/2024 17:50:00,13.51,7951.36,,,,
49,04/06/2024 17:55:00,13.12,7669.76,,,,
50,04/06/2024 18:00:00,12.82,7403.52,,,,
51,04/06/2024 18:05:00,12.65,7132.16,,,,
52,04/06/2024 18:10:00,12.48,6832.64,,,,
53,04/06/2024 18:15:00,12.31,6525.44,,,,
54,04/06/2024 18:20:00,12.31,6141.44,,,,
55,04/06/2024 18:25:00,12.14,5793.28,,,,
56,04/06/2024 18:30:00,13.55,3356.16,,,,
