Plot,#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
B1,48,4/7/2024 18:30,14.88,3733.76,"","","",""
B1,49,4/7/2024 18:35,14.93,5093.12,"","","",""
B1,50,4/7/2024 18:40,15.18,3120.64,"","","",""
B1,51,4/7/2024 18:45,15.14,2494.72,"","","",""
B1,52,4/7/2024 18:50,15.23,2096,"","","",""
B1,53,4/7/2024 18:55,15.18,1528.32,"","","",""
B1,54,4/7/2024 19:00,15.14,1473.28,"","","",""
B1,55,4/7/2024 19:05,15.1,866.56,"","","",""
B1,56,4/7/2024 19:10,14.97,551.2,"","","",""
B1,57,4/7/2024 19:15,14.97,298.48,"","","",""
B1,58,4/7/2024 19:20,14.93,131,"","","",""
B1,59,4/7/2024 19:25,14.84,91,"","","",""
B1,60,4/7/2024 19:30,14.84,25.55,"","","",""
B1,61,4/7/2024 19:35,14.8,10.13,"","","",""
B1,62,4/7/2024 19:40,14.84,2.58,"","","",""
B1,63,4/7/2024 19:45,14.8,0.86,"","","",""
B1,64,4/7/2024 19:50,14.75,0,"","","",""
B1,65,4/7/2024 19:55,14.75,0,"","","",""
B1,66,4/7/2024 20:00,14.75,0,"","","",""
B1,67,4/7/2024 20:05,14.75,0,"","","",""
B1,68,4/7/2024 20:10,14.67,0,"","","",""
B1,69,4/7/2024 20:15,14.58,0,"","","",""
B1,70,4/7/2024 20:20,14.58,0,"","","",""
B1,71,4/7/2024 20:25,14.54,0,"","","",""
B1,72,4/7/2024 20:30,14.5,0,"","","",""
B1,73,4/7/2024 20:35,14.54,0,"","","",""
B1,74,4/7/2024 20:40,14.58,0,"","","",""
B1,75,4/7/2024 20:45,14.54,0,"","","",""
B1,76,4/7/2024 20:50,14.54,0,"","","",""
B1,77,4/7/2024 20:55,14.5,0.21,"","","",""
B1,78,4/7/2024 21:00,14.5,0,"","","",""
B1,79,4/7/2024 21:05,14.54,0,"","","",""
B1,80,4/7/2024 21:10,14.45,0,"","","",""
B1,81,4/7/2024 21:15,14.5,0,"","","",""
B1,82,4/7/2024 21:20,14.5,0,"","","",""
B1,83,4/7/2024 21:25,14.45,0,"","","",""
B1,84,4/7/2024 21:30,14.5,0,"","","",""
B1,85,4/7/2024 21:35,14.45,0,"","","",""
B1,86,4/7/2024 21:40,14.45,0,"","","",""
B1,87,4/7/2024 21:45,14.41,0,"","","",""
B1,88,4/7/2024 21:50,14.41,0,"","","",""
B1,89,4/7/2024 21:55,14.41,0,"","","",""
B1,90,4/7/2024 22:00,14.41,0,"","","",""
B1,91,4/7/2024 22:05,14.37,0,"","","",""
B1,92,4/7/2024 22:10,14.41,0,"","","",""
B1,93,4/7/2024 22:15,14.41,0,"","","",""
B1,94,4/7/2024 22:20,14.37,0,"","","",""
B1,95,4/7/2024 22:25,14.37,0,"","","",""
B1,96,4/7/2024 22:30,14.37,0,"","","",""
B1,97,4/7/2024 22:35,14.33,0,"","","",""
B1,98,4/7/2024 22:40,14.28,0,"","","",""
B1,99,4/7/2024 22:45,14.28,0,"","","",""
B1,100,4/7/2024 22:50,14.2,0,"","","",""
B1,101,4/7/2024 22:55,14.24,0,"","","",""
B1,102,4/7/2024 23:00,14.11,0,"","","",""
B1,103,4/7/2024 23:05,14.07,0,"","","",""
B1,104,4/7/2024 23:10,14.11,0,"","","",""
B1,105,4/7/2024 23:15,14.15,0,"","","",""
B1,106,4/7/2024 23:20,14.15,0,"","","",""
B1,107,4/7/2024 23:25,14.2,0,"","","",""
B1,108,4/7/2024 23:30,14.2,0,"","","",""
B1,109,4/7/2024 23:35,14.2,0,"","","",""
B1,110,4/7/2024 23:40,14.2,0,"","","",""
B1,111,4/7/2024 23:45,14.15,0,"","","",""
B1,112,4/7/2024 23:50,14.15,0,"","","",""
B1,113,4/7/2024 23:55,14.11,0,"","","",""
B1,114,4/8/2024 0:00,14.07,0,"","","",""
B1,115,4/8/2024 0:05,14.03,0.21,"","","",""
B1,116,4/8/2024 0:10,13.85,0,"","","",""
B1,117,4/8/2024 0:15,13.73,0,"","","",""
B1,198,4/8/2024 7:00,14.33,12559.36,"","","",""
B1,199,4/8/2024 7:05,14.54,15283.2,"","","",""
B1,200,4/8/2024 7:10,14.67,7155.2,"","","",""
B1,201,4/8/2024 7:15,14.8,22661.12,"","","",""
B1,202,4/8/2024 7:20,14.5,6233.6,"","","",""
B1,203,4/8/2024 7:25,14.33,33361.92,"","","",""
B1,204,4/8/2024 7:30,14.03,34375.68,"","","",""
B1,205,4/8/2024 7:35,14.37,7582.72,"","","",""
B1,206,4/8/2024 7:40,13.64,28682.24,"","","",""
B1,207,4/8/2024 7:45,13.51,15759.36,"","","",""
B1,208,4/8/2024 7:50,13.43,12738.56,"","","",""
B1,209,4/8/2024 7:55,13.47,13849.6,"","","",""
B1,210,4/8/2024 8:00,13.43,13793.28,"","","",""
B1,211,4/8/2024 8:05,13.51,18780.16,"","","",""
B1,212,4/8/2024 8:10,13.47,7626.24,"","","",""
B1,213,4/8/2024 8:15,13.51,20705.28,"","","",""
B1,214,4/8/2024 8:20,13.55,8550.4,"","","",""
B1,215,4/8/2024 8:25,13.51,16368.64,"","","",""
B1,216,4/8/2024 8:30,13.51,17710.08,"","","",""
B1,217,4/8/2024 8:35,13.51,785.92,"","","",""
B1,218,4/8/2024 8:40,13.6,33177.6,"","","",""
B1,219,4/8/2024 8:45,13.64,19645.44,"","","",""
B1,220,4/8/2024 8:50,13.73,18032.64,"","","",""
B1,221,4/8/2024 8:55,13.73,22333.44,"","","",""
B1,222,4/8/2024 9:00,13.68,21821.44,"","","",""
B1,223,4/8/2024 9:05,13.64,14428.16,"","","",""
B1,224,4/8/2024 9:10,13.85,20797.44,"","","",""
B1,225,4/8/2024 9:15,13.94,20433.92,"","","",""
B1,226,4/8/2024 9:20,13.94,30904.32,"","","",""
B1,227,4/8/2024 9:25,13.98,26101.76,"","","",""
B1,228,4/8/2024 9:30,14.11,37427.2,"","","",""
B1,229,4/8/2024 9:35,14.07,29552.64,"","","",""
B1,230,4/8/2024 9:40,14.24,36392.96,"","","",""
B1,231,4/8/2024 9:45,14.28,39168,"","","",""
B1,232,4/8/2024 9:50,14.37,61358.08,"","","",""
B1,233,4/8/2024 9:55,14.54,28528.64,"","","",""
B1,234,4/8/2024 10:00,14.58,11089.92,"","","",""
B1,235,4/8/2024 10:05,14.58,32010.24,"","","",""
B1,236,4/8/2024 10:10,14.67,41144.32,"","","",""
B1,237,4/8/2024 10:15,14.75,44011.52,"","","",""
B1,238,4/8/2024 10:20,14.75,35246.08,"","","",""
B1,239,4/8/2024 10:25,14.75,24883.2,"","","",""
B1,240,4/8/2024 10:30,14.8,26101.76,"","","",""
B1,241,4/8/2024 10:35,14.75,27432.96,"","","",""
B1,242,4/8/2024 10:40,14.75,42250.24,"","","",""
B1,243,4/8/2024 10:45,14.63,21882.88,"","","",""
B1,244,4/8/2024 10:50,14.63,8709.12,"","","",""
B1,245,4/8/2024 10:55,14.63,25579.52,"","","",""
B1,246,4/8/2024 11:00,14.5,35676.16,"","","",""
