#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/17/2023 06:55:00,19.60,3527.68,,,,
2,07/17/2023 07:00:00,19.69,8627.20,,,,
3,07/17/2023 07:05:00,19.77,9576.96,,,,
4,07/17/2023 07:10:00,19.99,11304.96,,,,
5,07/17/2023 07:15:00,20.03,10603.52,,,,
6,07/17/2023 07:20:00,21.10,24166.40,,,,
7,07/17/2023 07:25:00,25.05,30402.56,,,,
8,07/17/2023 07:30:00,26.38,32686.08,,,,
9,07/17/2023 07:35:00,27.32,35594.24,,,,
10,07/17/2023 07:40:00,27.58,36751.36,,,,
11,07/17/2023 07:45:00,27.58,36003.84,,,,
12,07/17/2023 07:50:00,25.65,28518.40,,,,
13,07/17/2023 07:55:00,23.38,21811.20,,,,
14,07/17/2023 08:00:00,21.02,20224.00,,,,
15,07/17/2023 08:05:00,20.37,27586.56,,,,
16,07/17/2023 08:10:00,19.95,19578.88,,,,
17,07/17/2023 08:15:00,19.52,19271.68,,,,
18,07/17/2023 08:20:00,19.22,14950.40,,,,
19,07/17/2023 08:25:00,19.17,6494.72,,,,
20,07/17/2023 08:30:00,19.17,26429.44,,,,
21,07/17/2023 08:35:00,18.92,26152.96,,,,
22,07/17/2023 08:40:00,18.66,16317.44,,,,
23,07/17/2023 08:45:00,18.83,27473.92,,,,
24,07/17/2023 08:50:00,18.70,19609.60,,,,
25,07/17/2023 08:55:00,18.87,32266.24,,,,
26,07/17/2023 09:00:00,18.83,13552.64,,,,
27,07/17/2023 09:05:00,18.53,28672.00,,,,
28,07/17/2023 09:10:00,18.83,28313.60,,,,
29,07/17/2023 09:15:00,19.09,40192.00,,,,
30,07/17/2023 09:20:00,19.17,42291.20,,,,
31,07/17/2023 09:25:00,19.13,36392.96,,,,
32,07/17/2023 09:30:00,19.00,16481.28,,,,
33,07/17/2023 09:35:00,18.87,42536.96,,,,
34,07/17/2023 09:40:00,18.87,6105.60,,,,
35,07/17/2023 09:45:00,18.66,42004.48,,,,
36,07/17/2023 09:50:00,18.62,34273.28,,,,
37,07/17/2023 09:55:00,18.62,53432.32,,,,
38,07/17/2023 10:00:00,18.53,39290.88,,,,
39,07/17/2023 10:05:00,18.53,23941.12,,,,
40,07/17/2023 10:10:00,18.36,35420.16,,,,
41,07/17/2023 10:15:00,18.40,39475.20,,,,
42,07/17/2023 10:20:00,18.27,37980.16,,,,
43,07/17/2023 10:25:00,18.19,39475.20,,,,
44,07/17/2023 10:30:00,18.27,43376.64,,,,
45,07/17/2023 10:35:00,18.44,43089.92,,,,
46,07/17/2023 10:40:00,18.36,45301.76,,,,
47,07/17/2023 10:45:00,18.06,41707.52,,,,
48,07/17/2023 10:50:00,17.93,25374.72,,,,
49,07/17/2023 10:55:00,18.06,36864.00,,,,
50,07/17/2023 11:00:00,18.02,40529.92,,,,
51,07/17/2023 11:05:00,18.19,57630.72,,,,
52,07/17/2023 11:10:00,18.36,37857.28,,,,
53,07/17/2023 11:15:00,18.32,57098.24,,,,
