#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,07/29/2023 01:30:00,20.68,0.00,,,,
2,07/29/2023 01:35:00,19.52,0.00,,,,
3,07/29/2023 01:40:00,19.09,0.00,,,,
4,07/29/2023 01:45:00,18.87,0.00,,,,
5,07/29/2023 01:50:00,18.74,0.00,,,,
6,07/29/2023 01:55:00,18.70,0.00,,,,
7,07/29/2023 02:00:00,18.66,0.00,,,,
8,07/29/2023 02:05:00,18.57,0.00,,,,
9,07/29/2023 02:10:00,18.53,0.00,,,,
10,07/29/2023 02:15:00,18.49,0.00,,,,
11,07/29/2023 02:20:00,18.40,0.00,,,,
12,07/29/2023 02:25:00,18.36,0.00,,,,
13,07/29/2023 02:30:00,18.36,0.00,,,,
14,07/29/2023 02:35:00,18.36,0.00,,,,
15,07/29/2023 02:40:00,18.23,0.00,,,,
16,07/29/2023 02:45:00,18.27,0.00,,,,
17,07/29/2023 02:50:00,18.27,0.00,,,,
18,07/29/2023 02:55:00,18.14,0.00,,,,
19,07/29/2023 03:00:00,18.14,0.00,,,,
20,07/29/2023 03:05:00,18.19,0.00,,,,
21,07/29/2023 03:10:00,18.10,0.00,,,,
22,07/29/2023 03:15:00,17.93,0.00,,,,
23,07/29/2023 03:20:00,17.84,0.00,,,,
24,07/29/2023 03:25:00,17.72,0.00,,,,
25,07/29/2023 03:30:00,17.54,0.00,,,,
26,07/29/2023 03:35:00,17.46,0.00,,,,
27,07/29/2023 03:40:00,17.59,0.00,,,,
28,07/29/2023 03:45:00,17.41,0.00,,,,
29,07/29/2023 03:50:00,17.54,0.00,,,,
30,07/29/2023 03:55:00,17.54,0.00,,,,
31,07/29/2023 04:00:00,17.63,0.00,,,,
32,07/29/2023 04:05:00,17.72,0.00,,,,
33,07/29/2023 04:10:00,17.89,0.00,,,,
34,07/29/2023 04:15:00,18.79,0.00,,,,
35,07/29/2023 04:20:00,19.95,0.00,,,,
36,07/29/2023 04:25:00,20.03,0.00,,,,
37,07/29/2023 04:30:00,19.95,0.00,,,,
38,07/29/2023 04:35:00,19.99,0.00,,,,
39,07/29/2023 04:40:00,20.03,0.00,,,,
40,07/29/2023 04:45:00,20.03,0.00,,,,
41,07/29/2023 04:50:00,20.07,0.00,,,,
42,07/29/2023 04:55:00,20.12,0.00,,,,
43,07/29/2023 05:00:00,20.16,0.00,,,,
44,07/29/2023 05:05:00,20.16,0.00,,,,
45,07/29/2023 05:10:00,20.25,0.00,,,,
46,07/29/2023 05:15:00,20.20,0.00,,,,
47,07/29/2023 05:20:00,20.25,0.00,,,,
48,07/29/2023 05:25:00,20.25,0.00,,,,
49,07/29/2023 05:30:00,20.25,0.00,,,,
50,07/29/2023 05:35:00,20.20,0.00,,,,
